,age,health_status,health_care_cost,kid_num,income,con_base,own_bef,house_fund_balance,long_term_bond,equity_return,p_long_term_bond,p_equity_return,debt_commerical,debt_house_fund,house_price,single_child_spend,house_cost,loan_ratio,house_fund_withdraw,house_fund_loan_pay,house_commerical_loan_pay,long_term_bond_saving,equity_return_saving,p_long_term_bond_saving,p_equity_return_saving,wealth,non_consumption,house_size,reward
1379,53,1.0,783.4851275204093,2,1104648.0280081315,189631.46477083716,1,443909.6378892723,1524783.4392297338,5260242.79933881,119686.36032104984,167897.62281338839,0.0,0.0,73077.3513151495,356782.8784635199,0.0,0.0,0.0,0.0,0.0,-134055.2437888917,-72935.66136153601,7824.43642616272,4900.1784324646,7603569.569514921,584565.0762453716,7.265716918531316,-1.9322741264525394e-12
1380,54,1.0,783.4851275204093,2,4828835.971614131,194034.7955127369,1,471750.9771241415,1311375.013276309,5280489.673307036,121282.04759581567,175772.02254445123,0.0,0.0,74796.65514925332,760482.3461963631,0.0,0.0,0.0,0.0,0.0,-461163.4133085854,2676008.0404788842,8670.337915420532,4182.875990867615,7432370.079491094,1079389.9530172967,7.265716918531316,-7.776998375576806e-13
1381,55,1.0,783.4851275204093,2,17898536.690302275,193965.89359605065,1,500589.476217898,781964.6754293115,8050038.912227031,123640.59318155292,183068.6108344528,0.0,0.0,76556.40935027336,1872126.4826117135,0.0,0.0,0.0,0.0,0.0,1257958.5503061991,10275708.10240933,8610.363006591797,4383.12041759491,9694949.990310637,2606840.1038116124,7.265716918531316,-2.1015268891579664e-13
1382,56,1.0,783.4851275204093,2,5292127.464217716,196735.0850397612,1,529997.8551018611,1999228.0137210633,18468349.374253456,125816.41980662223,190694.69891487042,0.0,0.0,78357.56560118224,821315.9438261637,0.0,0.0,0.0,0.0,0.0,8732340.51137002,-6883563.270209199,7385.882377624512,5976.565718650818,21353412.396779448,1786572.4021807713,7.265716918531316,-3.6817145151256333e-13
1383,57,1.0,783.4851275204093,2,1268825.7112823164,195920.91595827218,1,560271.3207078745,10627524.173165679,11911943.553556869,126654.53085925925,200049.32458183137,0.0,0.0,80201.09797536704,1377065.4397014664,0.0,0.0,0.0,0.0,0.0,-9195069.066577218,5606851.350464316,8131.7853927612305,4073.40931892395,23448890.056608047,2089923.8681530803,7.265716918531316,-2.917259749262383e-13
1384,58,1.0,783.4851275204093,2,4013922.4447457436,199234.45853132883,1,591068.8387178592,879374.6887573134,17729808.947168577,128194.92773043776,207666.50630188567,0.0,0.0,82088.00346341253,762417.0093394791,0.0,0.0,0.0,0.0,0.0,8751650.495478038,-7847008.0459567495,7727.01358795166,5424.06964302063,19541473.265530787,1570511.4081870047,7.265716918531316,-4.4578322895344914e-13
1385,59,1.0,783.4851275204093,2,1290098.3898908456,202833.73791097812,1,622813.6613453493,9585260.534598883,10196875.481346633,129250.38705629601,216769.28285986392,0.0,0.0,84019.30251227823,1230936.9904701863,0.0,0.0,0.0,0.0,0.0,-8599690.379906949,5639724.298695581,8384.799242019653,3720.4599380493164,20738616.153608337,1775301.745854251,7.265716918531316,-3.71645429255146e-13
1386,60,0.74,0.0,2,981446.0416373375,0.0,1,0.0,486731.4962128177,16017232.261476949,126981.44243712671,217599.80976277025,0.0,0.0,85996.03957716063,652195.4200256886,0.0,0.0,0.0,0.0,0.0,7505582.413721235,-9148425.005681016,-44936.01727071882,-118658.20886954738,17473367.88957213,1483492.0196860076,7.265716918531316,-5.391914663131955e-13
1387,61,1.0,-519.466594115698,2,327125.3720662846,0.0,1,0.0,7966983.300950194,7152544.4078676365,75437.02342621144,102796.27124484951,0.0,0.0,88019.28368633929,736018.6296008702,0.0,0.0,0.0,0.0,0.0,-5077946.363625064,2552667.984365603,-32142.04869848211,-45942.614064802336,15937284.202125734,1458970.621481405,7.265716918531316,-4.972830263443282e-13
1388,62,0.74,0.0,2,327486.3852365032,0.0,1,0.0,2474417.0897345357,9831916.091550615,39369.06124527813,58674.641028595965,0.0,0.0,90090.12901931214,338612.97244061605,0.0,0.0,0.0,0.0,0.0,3228100.2543917513,-4661898.926413637,-16748.96275197556,-25151.536635815784,13058946.25816731,1125959.611764948,7.265716918531316,-8.118399416501494e-13
